Date,ETH_price
21/10/2021,4054.322754
22/10/2021,3970.181885
23/10/2021,4171.663574
24/10/2021,4087.903076
25/10/2021,4217.876953
26/10/2021,4131.102051
27/10/2021,3930.257324
28/10/2021,4287.318848
29/10/2021,4414.746582
30/10/2021,4325.650391
31/10/2021,4288.074219
01/11/2021,4324.626953
02/11/2021,4584.798828
03/11/2021,4607.193848
04/11/2021,4537.324219
05/11/2021,4486.243164
06/11/2021,4521.581055
07/11/2021,4620.554688
08/11/2021,4812.087402
09/11/2021,4735.068848
10/11/2021,4636.174316
11/11/2021,4730.384277
12/11/2021,4667.115234
13/11/2021,4651.460449
14/11/2021,4626.358887
15/11/2021,4557.503906
16/11/2021,4216.365234
17/11/2021,4287.59375
18/11/2021,4000.650879
19/11/2021,4298.306641
20/11/2021,4409.931152
21/11/2021,4269.73291
22/11/2021,4088.457764
23/11/2021,4340.763672
24/11/2021,4239.981445
25/11/2021,4274.743164
26/11/2021,4030.908936
27/11/2021,4096.912109
28/11/2021,4294.453613
29/11/2021,4445.10498
30/11/2021,4631.479004
01/12/2021,4586.990234
02/12/2021,4511.302246
03/12/2021,4220.706055
04/12/2021,4119.587402
05/12/2021,4198.322754
06/12/2021,4358.737305
07/12/2021,4315.061523
08/12/2021,4439.35791
09/12/2021,4119.815918
10/12/2021,3908.496094
11/12/2021,4084.452393
12/12/2021,4134.453125
13/12/2021,3784.226807
14/12/2021,3745.44043
15/12/2021,4018.388672
16/12/2021,3962.469727
17/12/2021,3879.486572
18/12/2021,3960.860107
19/12/2021,3922.592529
20/12/2021,3933.844482
21/12/2021,4020.26001
22/12/2021,3982.099609
23/12/2021,4108.015625
24/12/2021,4047.98291
25/12/2021,4093.281006
26/12/2021,4067.328125
27/12/2021,4037.547607
28/12/2021,3800.893066
29/12/2021,3628.531738
30/12/2021,3713.852051
31/12/2021,3682.632813
01/01/2022,3769.697021
02/01/2022,3829.564941
03/01/2022,3761.380371
04/01/2022,3794.056641
05/01/2022,3550.386963
06/01/2022,3418.408203
07/01/2022,3193.210449
08/01/2022,3091.972656
09/01/2022,3157.751465
10/01/2022,3083.0979
11/01/2022,3238.111572
12/01/2022,3372.258301
13/01/2022,3248.288574
14/01/2022,3310.001465
15/01/2022,3330.530762
16/01/2022,3350.921875
17/01/2022,3212.304932
18/01/2022,3164.025146
19/01/2022,3095.825928
20/01/2022,3001.120117
21/01/2022,2557.931641
22/01/2022,2405.181152
23/01/2022,2535.039063
24/01/2022,2440.352295
25/01/2022,2455.935059
26/01/2022,2468.030273
27/01/2022,2440.403809
