Date,Open,High,Low,Close
10/13/2020,654.41,654.41,654.41,654.41
10/12/2020,662.51,662.51,662.51,662.51
10/09/2020,650.96,650.96,650.96,650.96
10/08/2020,667.97,667.97,667.97,667.97
10/07/2020,671.74,671.74,671.74,671.74
10/06/2020,678.09,678.09,678.09,678.09
10/05/2020,693.92,693.92,693.92,693.92
10/02/2020,703.45,703.45,703.45,703.45
10/01/2020,695.82,695.82,695.82,695.82
09/30/2020,683.89,683.89,683.89,683.89
09/29/2020,673.35,673.35,673.35,673.35
09/28/2020,693.18,693.18,693.18,693.18
09/25/2020,671.17,671.17,671.17,671.17
09/24/2020,641.09,641.09,641.09,641.09
09/23/2020,643.21,643.21,643.21,643.21
09/22/2020,665.51,665.51,665.51,665.51
09/21/2020,648.98,648.98,648.98,648.98
09/18/2020,685.15,685.15,685.15,685.15
09/17/2020,694.59,694.59,694.59,694.59
09/16/2020,704.64,704.64,704.64,704.64
09/15/2020,726.99,726.99,726.99,726.99
09/14/2020,732.07,732.07,732.07,732.07
09/11/2020,716.95,716.95,716.95,716.95
09/10/2020,726.08,726.08,726.08,726.08
09/09/2020,722.52,722.52,722.52,722.52
09/08/2020,723.35,723.35,723.35,723.35
09/07/2020,737.15,737.15,737.15,737.15
09/04/2020,737.15,737.15,737.15,737.15
09/03/2020,724.93,724.93,724.93,724.93
09/02/2020,742.22,742.22,742.22,742.22
09/01/2020,719.42,719.42,719.42,719.42
08/31/2020,722.02,722.02,722.02,722.02
08/28/2020,750.11,750.11,750.11,750.11
08/27/2020,724.04,724.04,724.04,724.04
08/26/2020,707.01,707.01,707.01,707.01
08/25/2020,709.19,709.19,709.19,709.19
08/24/2020,712.46,712.46,712.46,712.46
08/21/2020,691.03,691.03,691.03,691.03
08/20/2020,679.21,679.21,679.21,679.21
08/19/2020,681.89,681.89,681.89,681.89
08/18/2020,684.79,684.79,684.79,684.79
08/17/2020,691.19,691.19,691.19,691.19
08/14/2020,699.9,699.9,699.9,699.9
08/13/2020,699.48,699.48,699.48,699.48
08/12/2020,697.56,697.56,697.56,697.56
08/11/2020,713.93,713.93,713.93,713.93
08/10/2020,680.38,680.38,680.38,680.38
08/07/2020,630.24,630.24,630.24,630.24
08/06/2020,633.78,633.78,633.78,633.78
08/05/2020,593.11,593.11,593.11,593.11
08/04/2020,596.29,596.29,596.29,596.29
08/03/2020,594.33,594.33,594.33,594.33
07/31/2020,585.09,585.09,585.09,585.09
07/30/2020,606.95,606.95,606.95,606.95
07/29/2020,590.51,590.51,590.51,590.51
07/28/2020,575.11,575.11,575.11,575.11
07/27/2020,564.26,564.26,564.26,564.26
07/24/2020,583.1,583.1,583.1,583.1
07/23/2020,586.31,586.31,586.31,586.31
07/22/2020,603.33,603.33,603.33,603.33
07/21/2020,614.67,614.67,614.67,614.67
07/20/2020,607.59,607.59,607.59,607.59
07/17/2020,622.54,622.54,622.54,622.54
07/16/2020,634.5,634.5,634.5,634.5
07/15/2020,645.92,645.92,645.92,645.92
07/14/2020,600.63,600.63,600.63,600.63
07/13/2020,606.89,606.89,606.89,606.89
07/10/2020,585.63,585.63,585.63,585.63
07/09/2020,574.74,574.74,574.74,574.74
07/08/2020,585.46,585.46,585.46,585.46
07/07/2020,577.29,577.29,577.29,577.29
07/06/2020,599.43,599.43,599.43,599.43
07/03/2020,601.18,601.18,601.18,601.18
07/02/2020,601.18,601.18,601.18,601.18
07/01/2020,589.23,589.23,589.23,589.23
06/30/2020,593.67,593.67,593.67,593.67
06/29/2020,588.38,588.38,588.38,588.38
06/26/2020,561.64,561.64,561.64,561.64
06/24/2020,592.27,592.27,592.27,592.27
06/23/2020,632.07,632.07,632.07,632.07
06/22/2020,616.47,616.47,616.47,616.47
06/19/2020,628.23,628.23,628.23,628.23
06/18/2020,638.02,638.02,638.02,638.02
06/17/2020,646.64,646.64,646.64,646.64
06/16/2020,652.68,652.68,652.68,652.68
06/15/2020,648.88,648.88,648.88,648.88
06/12/2020,649.22,649.22,649.22,649.22
06/11/2020,627.13,627.13,627.13,627.13
06/10/2020,684.32,684.32,684.32,684.32
06/09/2020,714.37,714.37,714.37,714.37
06/08/2020,747.03,747.03,747.03,747.03
